"non,asIs",0.07
"RS,asIs",0.94
"RS,mid-leaf",1.14
"RS,k1",2.1
"RS,k3",2.2
"RS,SVR",2.21
"RS,RR",2.23
"RS,LR",2.25
"RS,k5",2.32
"RS,LSR",2.34
"DS,asIs",2.79
"DS,mid-leaf",3.0
"RS,LGBM",3.15
"DS,k1",3.96
"DS,k3",4.06
"DS,SVR",4.07
"DS,LR",4.12
"DS,RR",4.12
"DS,LSR",4.16
"DS,k5",4.17
"non,mid-leaf",5.05
"DS,LGBM",5.07
"non,RR",6.18
"non,k1",6.18
"non,LR",6.24
"non,k3",6.25
"non,LSR",6.27
"non,k5",6.34
"non,SVR",6.76
"kmeans,k1",10.59
"kmeans,k3",10.69
"kmeans,k5",10.8
"non,LGBM",12.45
