"non,asIs",0.09
"RS,asIs",1.0
"RS,mid-leaf",1.24
"RS,k1",2.26
"RS,k3",2.38
"RS,k5",2.51
"RS,SVR",2.9
"RS,RR",3.06
"RS,LR",3.07
"RS,LSR",3.07
"DS,asIs",3.24
"DS,mid-leaf",3.47
"RS,LGBM",4.16
"DS,k1",4.49
"DS,k3",4.6
"DS,k5",4.74
"DS,SVR",5.15
"DS,RR",5.23
"DS,LR",5.26
"DS,LSR",5.32
"non,mid-leaf",5.76
"DS,LGBM",6.39
"non,k1",7.52
"non,RR",7.54
"non,k3",7.58
"non,LR",7.63
"non,LSR",7.65
"non,k5",7.7
"non,SVR",8.61
"kmeans,k1",11.17
"kmeans,k3",11.29
"kmeans,k5",11.42
"non,LGBM",17.42
